brand,product_name,priority_score,priority,rank
Boat,"boAt Nirvana Ion ANC Pro TWS Earbuds with Active Noise Cancellation (IPX4 Water Resistant, Dual EQ Modes, Crystal Black)",100.38,Critical,1
Goboult,"GOBOULT Cyborg TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Fast Charging, Blue Ice)",98.18,High,2
Boat,"boAt Airdopes 111v2 TWS Earbuds with Environmental Noise Cancellation (IPX4 Splash & Sweat Resistance, ASAP Charge, Classic Black)",97.73,High,3
Goboult,"GOBOULT Mustang Torq FGTW196SVR TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Fast Charging, Silver)",96.7,High,4
Noise,"noise Buds VS102 Neo TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Hyper Sync Technology, Carbon Black)",95.61,High,5
Boat,"boAt Nirvana Crown PP0031 TWS Earbuds with Hybrid Active Noise Cancellation (IPX4 Water Resistance, ASAP Charge, Blazing Red)",94.0,High,6
Jbl,"JBL Wave Buds 2 TWS Earbuds with Active Noise Cancellation (IP54 Water Resistant, 40 Hours Playtime, Pink)",91.97,High,7
Boat,"boAt Nirvana Ion ANC Pro w/ Hi-Res Audio with LDAC, ANC, 120H Battery, Multi-Connect Bluetooth",88.95,High,8
Noise,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmental Noise Cancellation, Quad Mic Bluetooth Gaming",88.88,High,9
Noise,"noise Buds Marine AUDHDPHNBUDSMARINE TWS Earbuds with Active Noise Cancellation (IPX4 Water Resistant, Dual Pairing, Marine Black)",88.0,High,10
Noise,ANIO Buds Marine TWS | ANC|35H Battery Compatible with-Noise Bluetooth,71.54,Medium,11
Boat,"Boat Airdopes 111v2, Premium Leather Finish, 4Mics ENx, 50HRS Battery, 13mm Drivers, Fast Charge, Dual Pair, v5.4 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Classic Black)",69.78,Medium,12
Goboult,"GOBOULT Mustang Torq Wireless in Ear Earbuds with 60H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, 13mm Driver, Breathing LEDs, Made in India Ear Buds Wireless (Silver)",68.7,Medium,13
Boat,"boAt Nirvana Zenith Pro (2025),50dB Hybrid ANC,Spatial Audio,80Hr Battery,App Support Bluetooth",68.55,Medium,14
Boat,"Boat Nirvana Ion ANC Pro, Hi-Res Audio LDAC,ANC(~32dB), 120Hrs Battery, App Support, Fast Charge, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Crystal Black)",64.0,Medium,15
Jbl,"JBL Wave Buds 2 ANC Earbuds with BTv5.3,Multi Connect,Fast Charge,40H runtime,4 Mics Bluetooth",63.71,Medium,16
Boat,"Boat Nirvana Zenith Pro, 50dB Hybrid Adaptive ANC, Spatial Audio, Hi-Res Audio LDAC, 6Mics AI-ENx, 80 Hrs Battery, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Velvet Grey)",63.5,Medium,17
Noise,"Noise Master Buds 2 with Sound by Bose (2026),51dB Adaptive ANC, Hi-Res LHDC Audio,360? Spatial Audio with Head Tracking, 6-mic ENC, Dual Pairing, Fast Charge & BT v6.1 (Carbon)",46.5,Low,18
Noise,"Noise MasterBuds 2, Sound by BOSE, 51dB ANC, Hi-Res LHDC, Spatial Audio, AI Assistance Bluetooth",45.7,Low,19
Noise,Buds Marine TWS Earbuds | ANC Noise Cancellation | 13mm Driver | 35H Battery | BT 5.3 | ENC Mic | Alloy Case Design (Black),41.68,Low,20
Jbl,"JBL Live Beam 3, Hi-Res LDAC Audio ANC TWS, SmartCase,48H Runtime, Wireless Charging Bluetooth",41.17,Low,21
Jbl,"JBL New Launch Live Beam 3 TWS,Hi-Res Audio True ANC Earbuds,Smart Case with Touch Display,48H Playtime,Wireless Charging,6 Mic,Multipoint Connection,Ip55 Proof, Headphones App,Personi-Fi 3.0 (Black)",37.0,Low,22
